"Test matches, career batting records",,,,,,,,,,
,,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,Hundred,Fifty,Duck
JJ Ferris (Australia),1887-1890,8,16,4,98,20*,8.16,0,0,1
JHW Fingleton (Australia),1932-1938,18,29,1,1189,136,42.46,5,3,3
LO Fleetwood-Smith (Australia),1935-1938,10,11,5,54,16*,9,0,0,2
DW Fleming (Australia),1994-2001,20,19,3,305,71*,19.06,0,2,7
BC Francis (Australia),1972-1972,3,5,0,52,27,10.4,0,0,1
EW Freeman (Australia),1968-1970,11,18,0,345,76,19.16,0,2,0
FAW Freer (Australia),1946-1946,1,1,1,28,28*,-,0,0,0
JB Gannon (Australia),1977-1978,3,5,4,3,3*,3,0,0,1
TW Garrett (Australia),1877-1888,19,33,6,339,51*,12.55,0,1,5
RA Gaunt (Australia),1958-1964,3,4,2,6,3,3,0,0,0
DRA Gehrs (Australia),1904-1911,6,11,0,221,67,20.09,0,2,1
PR George (Australia),2010-2010,1,2,0,2,2,1,0,0,1
G Giffen (Australia),1881-1896,31,53,0,1238,161,23.35,1,6,5
WF Giffen (Australia),1887-1892,3,6,0,11,3,1.83,0,0,1
DR Gilbert (Australia),1985-1986,9,12,4,57,15,7.12,0,0,1
AC Gilchrist (Australia),1999-2008,96,137,20,5570,204*,47.6,17,26,14
JN Gillespie (Australia),1996-2006,71,93,28,1218,201*,18.73,1,2,13
GJ Gilmour (Australia),1973-1977,15,22,1,483,101,23,1,3,3
JW Gleeson (Australia),1967-1972,29,46,8,395,45,10.39,0,0,11
H Graham (Australia),1893-1896,6,10,0,301,107,30.1,2,0,2
DW Gregory (Australia),1877-1879,3,5,2,60,43,20,0,0,0
EJ Gregory (Australia),1877-1877,1,2,0,11,11,5.5,0,0,1
JM Gregory (Australia),1920-1928,24,34,3,1146,119,36.96,2,7,3
RG Gregory (Australia),1937-1937,2,3,0,153,80,51,0,2,0
SE Gregory (Australia),1890-1912,58,100,7,2282,201,24.53,4,8,12
CV Grimmett (Australia),1925-1936,37,50,10,557,50,13.92,0,1,7
TU Groube (Australia),1880-1880,1,2,0,11,11,5.5,0,0,1
ATW Grout (Australia),1957-1966,51,67,8,890,74,15.08,0,3,11
CEJ Guest (Australia),1963-1963,1,1,0,11,11,11,0,0,0
BJ Haddin (Australia),2008-2015,66,112,13,3266,169,32.98,4,18,8
RA Hamence (Australia),1947-1948,3,4,1,81,30*,27,0,0,0
JR Hammond (Australia),1973-1973,5,5,2,28,19,9.33,0,0,1
PSP Handscomb (Australia),2016-2018,13,24,5,829,110,43.63,2,4,1
RJ Harris (Australia),2010-2015,27,39,11,603,74,21.53,0,3,2
J Harry (Australia),1895-1895,1,2,0,8,6,4,0,0,0
MJ Hartigan (Australia),1908-1908,2,4,0,170,116,42.5,1,0,0
AEV Hartkopf (Australia),1925-1925,1,2,0,80,80,40,0,1,1
MR Harvey (Australia),1947-1947,1,2,0,43,31,21.5,0,0,0
RN Harvey (Australia),1948-1963,79,137,10,6149,205,48.41,21,24,7
AL Hassett (Australia),1938-1953,43,69,3,3073,198*,46.56,10,11,1
JW Hastings (Australia),2012-2012,1,2,0,52,32,26,0,0,0
NM Hauritz (Australia),2004-2010,17,24,7,426,75,25.05,0,2,1
NJN Hawke (Australia),1963-1968,27,37,15,365,45*,16.59,0,0,6
ML Hayden (Australia),1994-2009,103,184,14,8625,380,50.73,30,29,14
JR Hazlewood (Australia),2014-2018,40,48,22,337,39,12.96,0,0,6
GR Hazlitt (Australia),1907-1912,9,12,4,89,34*,11.12,0,0,2
IA Healy (Australia),1988-1999,119,182,23,4356,161*,27.39,4,22,18
HSTL Hendry (Australia),1921-1929,11,18,2,335,112,20.93,1,0,1
MC Henriques (Australia),2013-2016,4,8,1,164,81*,23.42,0,2,2
PA Hibbert (Australia),1977-1977,1,2,0,15,13,7.5,0,0,0
JD Higgs (Australia),1978-1981,22,36,16,111,16,5.55,0,0,5
AMJ Hilditch (Australia),1979-1985,18,34,0,1073,119,31.55,2,6,3
BW Hilfenhaus (Australia),2009-2012,27,38,12,355,56*,13.65,0,1,8
C Hill (Australia),1896-1912,49,89,2,3412,191,39.21,7,19,9
JC Hill (Australia),1953-1955,3,6,3,21,8*,7,0,0,1
DE Hoare (Australia),1961-1961,1,2,0,35,35,17.5,0,0,1
BJ Hodge (Australia),2005-2008,6,11,2,503,203*,55.88,1,2,0
JR Hodges (Australia),1877-1877,2,4,1,10,8,3.33,0,0,1
TG Hogan (Australia),1983-1984,7,12,1,205,42*,18.63,0,0,1
GB Hogg (Australia),1996-2008,7,10,3,186,79,26.57,0,1,0
RM Hogg (Australia),1978-1984,38,58,13,439,52,9.75,0,1,14
TV Hohns (Australia),1989-1989,7,7,1,136,40,22.66,0,0,1
GB Hole (Australia),1951-1955,18,33,2,789,66,25.45,0,6,2
JM Holland (Australia),2016-2016,2,4,3,1,1,1,0,0,0
RG Holland (Australia),1984-1986,11,15,4,35,10,3.18,0,0,7
DW Hookes (Australia),1977-1985,23,41,3,1306,143*,34.36,1,8,4
AJY Hopkins (Australia),1902-1909,20,33,2,509,43,16.41,0,0,4
TP Horan (Australia),1877-1885,15,27,2,471,124,18.84,1,1,3
HV Hordern (Australia),1911-1912,7,13,2,254,50,23.09,0,1,1
PM Hornibrook (Australia),1929-1930,6,7,1,60,26,10,0,0,1
WP Howell (Australia),1898-1904,18,27,6,158,35,7.52,0,0,8
KJ Hughes (Australia),1977-1984,70,124,6,4415,213,37.41,9,22,10
MG Hughes (Australia),1985-1994,53,70,8,1032,72*,16.64,0,2,10
PJ Hughes (Australia),2009-2013,26,49,2,1535,160,32.65,3,7,6
WA Hunt (Australia),1932-1932,1,1,0,0,0,0,0,0,1
AG Hurst (Australia),1974-1979,12,20,3,102,26,6,0,0,10
A Hurwood (Australia),1930-1931,2,2,0,5,5,2.5,0,0,1
MEK Hussey (Australia),2005-2013,79,137,16,6235,195,51.52,19,29,12
RJ Inverarity (Australia),1968-1972,6,11,1,174,56,17.4,0,1,1
FA Iredale (Australia),1894-1899,14,23,1,807,140,36.68,2,4,2
H Ironmonger (Australia),1928-1933,14,21,5,42,12,2.62,0,0,6
JB Iverson (Australia),1950-1951,5,7,3,3,1*,0.75,0,0,2
A Jackson (Australia),1929-1931,8,11,1,474,164,47.4,1,2,1
PA Jaques (Australia),2005-2008,11,19,0,902,150,47.47,3,6,1
BN Jarman (Australia),1959-1969,19,30,3,400,78,14.81,0,2,5
AH Jarvis (Australia),1885-1895,11,21,3,303,82,16.83,0,1,1
TJ Jenner (Australia),1970-1975,9,14,5,208,74,23.11,0,1,1
CB Jennings (Australia),1912-1912,6,8,2,107,32,17.83,0,0,2
IWG Johnson (Australia),1946-1956,45,66,12,1000,77,18.51,0,6,10
LJ Johnson (Australia),1948-1948,1,1,1,25,25*,-,0,0,0
MG Johnson (Australia),2007-2015,73,109,16,2065,123*,22.2,1,11,19
WA Johnston (Australia),1947-1955,40,49,25,273,29,11.37,0,0,7
DM Jones (Australia),1984-1992,52,89,11,3631,216,46.55,11,14,11
E Jones (Australia),1894-1902,19,26,1,126,20,5.04,0,0,5
SP Jones (Australia),1882-1888,12,24,4,428,87,21.4,0,1,3
LR Joslin (Australia),1968-1968,1,2,0,9,7,4.5,0,0,0
BP Julian (Australia),1993-1995,7,9,1,128,56*,16,0,1,3
MS Kasprowicz (Australia),1996-2006,38,54,12,445,25,10.59,0,0,7
SM Katich (Australia),2001-2010,56,99,6,4188,157,45.03,10,25,4
C Kelleway (Australia),1910-1928,26,42,4,1422,147,37.42,3,6,1
JJ Kelly (Australia),1896-1905,36,56,17,664,46*,17.02,0,0,7
TJD Kelly (Australia),1877-1879,2,3,0,64,35,21.33,0,0,0
TK Kendall (Australia),1877-1877,2,4,1,39,17*,13,0,0,0
MF Kent (Australia),1981-1981,3,6,0,171,54,28.5,0,2,0
RB Kerr (Australia),1985-1985,2,4,0,31,17,7.75,0,0,1
UT Khawaja (Australia),2011-2018,33,57,4,2226,174,42,6,12,3
AF Kippax (Australia),1925-1934,22,34,1,1192,146,36.12,2,8,1
LF Kline (Australia),1957-1961,13,16,9,58,15*,8.28,0,0,3
JJ Krejza (Australia),2008-2008,2,4,1,71,32,23.66,0,0,0
BM Laird (Australia),1979-1982,21,40,2,1341,92,35.28,0,11,2
JL Langer (Australia),1993-2007,105,182,12,7696,250,45.27,23,30,11
GRA Langley (Australia),1951-1956,26,37,12,374,53,14.96,0,1,3
TJ Laughlin (Australia),1978-1978,3,5,0,87,35,17.4,0,0,0
