"Test matches, career batting records",,,,,,,,,,
,,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,Hundred,Fifty,Duck
BN French (England),1986-1988,16,21,4,308,59,18.11,0,1,2
CB Fry (England),1896-1912,26,41,3,1223,144,32.18,2,7,3
JER Gallian (England),1995-1995,3,6,0,74,28,12.33,0,0,2
MW Gatting (England),1978-1995,79,138,14,4409,207,35.55,10,21,16
LH Gay (England),1894-1894,1,2,0,37,33,18.5,0,0,0
G Geary (England),1924-1934,14,20,4,249,66,15.56,0,2,3
PA Gibb (England),1938-1946,8,13,0,581,120,44.69,2,3,1
ESH Giddins (England),1999-2000,4,7,3,10,7,2.5,0,0,3
N Gifford (England),1964-1973,15,20,9,179,25*,16.27,0,0,1
AF Giles (England),1998-2006,54,81,13,1421,59,20.89,0,4,9
AER Gilligan (England),1922-1925,11,16,3,209,39*,16.07,0,0,2
AHH Gilligan (England),1930-1930,4,4,0,71,32,17.75,0,0,0
H Gimblett (England),1936-1939,3,5,1,129,67*,32.25,0,1,0
C Gladwin (England),1947-1949,8,11,5,170,51*,28.33,0,1,0
TWJ Goddard (England),1930-1939,8,5,3,13,8,6.5,0,0,1
GA Gooch (England),1975-1995,118,215,6,8900,333,42.58,20,46,13
D Gough (England),1994-2003,58,86,18,855,65,12.57,0,2,14
AR Gover (England),1936-1946,4,1,1,2,2*,-,0,0,0
DI Gower (England),1978-1992,117,204,18,8231,215,44.25,18,39,7
EM Grace (England),1880-1880,1,2,0,36,36,18,0,0,1
GF Grace (England),1880-1880,1,2,0,0,0,0,0,0,2
WG Grace (England),1880-1899,22,36,2,1098,170,32.29,2,5,2
TW Graveney (England),1951-1969,79,123,13,4882,258,44.38,11,20,8
T Greenhough (England),1959-1960,4,4,1,4,2,1.33,0,0,1
A Greenwood (England),1877-1877,2,4,0,77,49,19.25,0,0,0
AW Greig (England),1972-1977,58,93,4,3599,148,40.43,8,20,5
IA Greig (England),1982-1982,2,4,0,26,14,6.5,0,0,0
BAF Grieve (England),1889-1889,2,3,2,40,14*,40,0,0,0
SC Griffith (England),1948-1949,3,5,0,157,140,31.4,1,0,1
G Gunn (England),1907-1930,15,29,1,1120,122*,40,2,7,3
JR Gunn (England),1901-1905,6,10,2,85,24,10.62,0,0,1
W Gunn (England),1887-1899,11,20,2,392,102*,21.77,1,1,1
A Habib (England),1999-1999,2,3,0,26,19,8.66,0,0,0
NE Haig (England),1921-1930,5,9,0,126,47,14,0,0,2
S Haigh (England),1899-1912,11,18,3,113,25,7.53,0,0,4
AD Hales (England),2015-2016,11,21,0,573,94,27.28,0,5,0
C Hallows (England),1921-1928,2,2,1,42,26,42,0,0,0
H Hameed (England),2016-2016,3,6,1,219,82,43.8,0,2,0
GM Hamilton (England),1999-1999,1,2,0,0,0,0,0,0,2
WR Hammond (England),1927-1947,85,140,16,7249,336*,58.45,22,24,4
JH Hampshire (England),1969-1975,8,16,1,403,107,26.86,1,2,2
HTW Hardinge (England),1921-1921,1,2,0,30,25,15,0,0,0
J Hardstaff (England),1907-1908,5,10,0,311,72,31.1,0,3,0
J Hardstaff (England),1935-1948,23,38,3,1636,205*,46.74,4,10,4
SJ Harmison (England),2002-2009,62,84,23,742,49*,12.16,0,0,20
Lord Harris (England),1879-1884,4,6,1,145,52,29,0,1,0
JC Hartley (England),1906-1906,2,4,0,15,9,3.75,0,0,2
Lord Hawke (England),1896-1899,5,8,1,55,30,7.85,0,0,2
EG Hayes (England),1906-1912,5,9,1,86,35,10.75,0,0,2
FC Hayes (England),1973-1976,9,17,1,244,106*,15.25,1,0,6
TW Hayward (England),1896-1909,35,60,2,1999,137,34.46,3,12,7
DW Headley (England),1997-1999,15,26,4,186,31,8.45,0,0,3
A Hearne (England),1892-1892,1,1,0,9,9,9,0,0,0
F Hearne (England),1889-1889,2,2,0,47,27,23.5,0,0,0
GG Hearne (England),1892-1892,1,1,0,0,0,0,0,0,1
JT Hearne (England),1892-1899,12,18,4,126,40,9,0,0,3
JW Hearne (England),1911-1926,24,36,5,806,114,26,1,2,3
WK Hegg (England),1998-1999,2,4,0,30,15,7.5,0,0,0
EE Hemmings (England),1982-1991,16,21,4,383,95,22.52,0,2,5
EH Hendren (England),1920-1935,51,83,9,3525,205*,47.63,7,21,4
M Hendrick (England),1974-1981,30,35,15,128,15,6.4,0,0,8
C Heseltine (England),1896-1896,2,2,0,18,18,9,0,0,1
GA Hick (England),1991-2001,65,114,6,3383,178,31.32,6,18,11
K Higgs (England),1965-1968,15,19,3,185,63,11.56,0,1,2
A Hill (England),1877-1877,2,4,2,101,49,50.5,0,0,1
AJL Hill (England),1896-1896,3,4,0,251,124,62.75,1,1,0
MJ Hilton (England),1950-1952,4,6,1,37,15,7.4,0,0,2
GH Hirst (England),1897-1909,24,38,3,790,85,22.57,0,5,5
JW Hitch (England),1911-1921,7,10,3,103,51*,14.71,0,1,1
JB Hobbs (England),1908-1930,61,102,7,5410,211,56.94,15,28,4
RNS Hobbs (England),1967-1971,7,8,3,34,15*,6.8,0,0,1
MJ Hoggard (England),2000-2008,67,92,27,473,38,7.27,0,0,19
WE Hollies (England),1935-1950,13,15,8,37,18*,5.28,0,0,4
AJ Hollioake (England),1997-1998,4,6,0,65,45,10.83,0,0,1
BC Hollioake (England),1997-1998,2,4,0,44,28,11,0,0,1
ERT Holmes (England),1935-1935,5,9,2,114,85*,16.28,0,1,2
P Holmes (England),1921-1932,7,14,1,357,88,27.46,0,4,3
L Hone (England),1879-1879,1,2,0,13,7,6.5,0,0,0
JL Hopwood (England),1934-1934,2,3,1,12,8,6,0,0,0
AN Hornby (England),1879-1884,3,6,0,21,9,3.5,0,0,1
MJ Horton (England),1959-1959,2,2,0,60,58,30,0,1,0
ND Howard (England),1951-1952,4,6,1,86,23,17.2,0,0,0
H Howell (England),1920-1924,5,8,6,15,5,7.5,0,0,0
R Howorth (England),1947-1948,5,10,2,145,45*,18.12,0,0,0
J Humphries (England),1908-1908,3,6,1,44,16,8.8,0,0,0
J Hunter (England),1884-1885,5,7,2,93,39*,18.6,0,0,0
N Hussain (England),1990-2004,96,171,16,5764,207,37.18,14,33,14
KL Hutchings (England),1907-1909,7,12,0,341,126,28.41,1,1,1
L Hutton (England),1937-1955,79,138,15,6971,364,56.67,19,33,5
RA Hutton (England),1971-1971,5,8,2,219,81,36.5,0,2,1
J Iddon (England),1935-1935,5,7,1,170,73,28.33,0,2,3
AP Igglesden (England),1989-1994,3,5,3,6,3*,3,0,0,2
JT Ikin (England),1946-1955,18,31,2,606,60,20.89,0,3,4
R Illingworth (England),1958-1973,61,90,11,1836,113,23.24,2,5,7
RK Illingworth (England),1991-1995,9,14,7,128,28,18.28,0,0,3
MC Ilott (England),1993-1995,5,6,2,28,15,7,0,0,0
DJ Insole (England),1950-1957,9,17,2,408,110*,27.2,1,1,2
RC Irani (England),1996-1999,3,5,0,86,41,17.2,0,0,0
RD Jackman (England),1981-1982,4,6,0,42,17,7,0,0,2
Hon.FS Jackson (England),1893-1905,20,33,4,1415,144*,48.79,5,6,3
HL Jackson (England),1949-1961,2,2,1,15,8,15,0,0,0
SP James (England),1998-1998,2,4,0,71,36,17.75,0,0,1
JA Jameson (England),1971-1974,4,8,0,214,82,26.75,0,1,0
DR Jardine (England),1928-1934,22,33,6,1296,127,48,1,10,2
PW Jarvis (England),1988-1993,9,15,2,132,29*,10.15,0,0,1
RO Jenkins (England),1948-1952,9,12,1,198,39,18,0,0,0
KK Jennings (England),2016-2018,7*,13,0,323,112,24.84,1,1,3
GL Jessop (England),1899-1912,18,26,0,569,104,21.88,1,3,3
RL Johnson (England),2003-2003,3,4,0,59,26,14.75,0,0,0
AO Jones (England),1899-1909,12,21,0,291,34,13.85,0,0,2
GO Jones (England),2004-2006,34,53,4,1172,100,23.91,1,6,2
IJ Jones (England),1964-1968,15,17,9,38,16,4.75,0,0,2
SP Jones (England),2002-2005,18,18,5,205,44,15.76,0,0,3
CJ Jordan (England),2014-2015,8,11,1,180,35,18,0,0,0
H Jupp (England),1877-1877,2,4,0,68,63,17,0,1,1
VWC Jupp (England),1921-1928,8,13,1,208,38,17.33,0,0,0
WW Keeton (England),1934-1939,2,4,0,57,25,14.25,0,0,1
AS Kennedy (England),1922-1923,5,8,2,93,41*,15.5,0,0,1
D Kenyon (England),1951-1955,8,15,0,192,87,12.8,0,1,1
SC Kerrigan (England),2013-2013,1,1,1,1,1*,-,0,0,0
RWT Key (England),2002-2005,15,26,1,775,221,31,1,3,2
A Khan (England),2009-2009,1,-,-,-,-,-,-,-,-
ET Killick (England),1929-1929,2,4,0,81,31,20.25,0,0,0
R Kilner (England),1924-1926,9,8,1,233,74,33.28,0,2,0
JH King (England),1909-1909,1,2,0,64,60,32,0,1,0
SP Kinneir (England),1911-1911,1,2,0,52,30,26,0,0,0
RJ Kirtley (England),2003-2003,4,7,1,32,12,5.33,0,0,0
AE Knight (England),1904-1904,3,6,1,81,70*,16.2,0,1,3
BR Knight (England),1961-1969,29,38,7,812,127,26.19,2,0,2
DJ Knight (England),1921-1921,2,4,0,54,38,13.5,0,0,0
NV Knight (England),1995-2001,17,30,0,719,113,23.96,1,4,1
APE Knott (England),1967-1981,95,149,15,4389,135,32.75,5,30,8
NA Knox (England),1907-1907,2,4,1,24,8*,8,0,0,0
JC Laker (England),1948-1959,46,63,15,676,63,14.08,0,2,6
AJ Lamb (England),1982-1992,79,139,10,4656,142,36.09,14,18,9
James Langridge (England),1933-1946,8,9,0,242,70,26.88,0,1,0
W Larkins (England),1980-1991,13,25,1,493,64,20.54,0,3,6
JDF Larter (England),1962-1965,10,7,2,16,10,3.2,0,0,2
H Larwood (England),1926-1933,21,28,3,485,98,19.4,0,2,4
MN Lathwell (England),1993-1993,2,4,0,78,33,19.5,0,0,1
DV Lawrence (England),1988-1992,5,6,0,60,34,10,0,0,0
MJ Leach (England),2018-2018,1,2,1,30,16,30,0,0,0
E Leadbeater (England),1951-1952,2,2,0,40,38,20,0,0,0
HW Lee (England),1931-1931,1,2,0,19,18,9.5,0,0,0
WS Lees (England),1906-1906,5,9,3,66,25*,11,0,0,0
GB Legge (England),1927-1930,5,7,1,299,196,49.83,1,0,2
CFH Leslie (England),1882-1883,4,7,0,106,54,15.14,0,1,1
JK Lever (England),1976-1986,21,31,5,306,53,11.76,0,1,2
P Lever (England),1970-1975,17,18,2,350,88*,21.87,0,2,1
HDG Leveson Gower (England),1910-1910,3,6,2,95,31,23.75,0,0,0
WHV Levett (England),1934-1934,1,2,1,7,5,7,0,0,0
AR Lewis (England),1972-1973,9,16,2,457,125,32.64,1,3,2
CC Lewis (England),1990-1996,32,51,3,1105,117,23.02,1,4,6
J Lewis (England),2006-2006,1,2,0,27,20,13.5,0,0,0
M Leyland (England),1928-1938,41,65,5,2764,187,46.06,9,10,6
AFA Lilley (England),1896-1909,35,52,8,903,84,20.52,0,4,10
James Lillywhite (England),1877-1877,2,3,1,16,10,8,0,0,0
D Lloyd (England),1974-1975,9,15,2,552,214*,42.46,1,0,0
TA Lloyd (England),1984-1984,1,1,1,10,10*,-,0,0,0
PJ Loader (England),1954-1959,13,19,6,76,17,5.84,0,0,3
GAR Lock (England),1952-1968,49,63,9,742,89,13.74,0,3,8
WH Lockwood (England),1893-1902,12,16,3,231,52*,17.76,0,1,3
GA Lohmann (England),1886-1896,18,26,2,213,62*,8.87,0,1,7
FA Lowson (England),1951-1955,7,13,0,245,68,18.84,0,2,2
AP Lucas (England),1879-1884,5,9,1,157,55,19.62,0,1,0
BW Luckhurst (England),1970-1974,21,41,5,1298,131,36.05,4,5,4
A Lyth (England),2015-2015,7,13,0,265,107,20.38,1,0,1
Hon.A Lyttelton (England),1880-1884,4,7,1,94,31,15.66,0,0,0
GG Macaulay (England),1923-1933,8,10,4,112,76,18.66,0,1,1
JCW MacBryan (England),1924-1924,1,-,-,-,-,-,-,-,-
MJ McCague (England),1993-1994,3,5,0,21,11,4.2,0,0,2
JE McConnon (England),1954-1954,2,3,1,18,11,9,0,0,0
CP McGahey (England),1902-1902,2,4,0,38,18,9.5,0,0,1
A McGrath (England),2003-2003,4,5,0,201,81,40.2,0,2,0
G MacGregor (England),1890-1893,8,11,3,96,31,12,0,0,1
AJW McIntyre (England),1950-1955,3,6,0,19,7,3.16,0,0,1
FA MacKinnon (England),1879-1879,1,2,0,5,5,2.5,0,0,1
AC MacLaren (England),1894-1909,35,61,4,1931,140,33.87,5,8,4
JEP McMaster (England),1889-1889,1,1,0,0,0,0,0,0,1
DL Maddy (England),1999-2000,3,4,0,46,24,11.5,0,0,0
SI Mahmood (England),2006-2007,8,11,1,81,34,8.1,0,0,3
JWH Makepeace (England),1920-1921,4,8,0,279,117,34.87,1,2,0
DJ Malan (England),2017-2018,14*,24,0,696,140,29,1,6,1
DE Malcolm (England),1989-1997,40,58,19,236,29,6.05,0,0,16
NA Mallender (England),1992-1992,2,3,0,8,4,2.66,0,0,0
FG Mann (England),1948-1949,7,12,2,376,136*,37.6,1,0,0
FT Mann (England),1922-1923,5,9,1,281,84,35.12,0,2,0
VJ Marks (England),1982-1984,6,10,1,249,83,27.66,0,3,0
CS Marriott (England),1933-1933,1,1,0,0,0,0,0,0,1
F Martin (England),1890-1892,2,2,0,14,13,7,0,0,0
JW Martin (England),1947-1947,1,2,0,26,26,13,0,0,1
PJ Martin (England),1995-1997,8,13,0,115,29,8.84,0,0,2
JR Mason (England),1897-1898,5,10,0,129,32,12.9,0,0,1
ADG Matthews (England),1937-1937,1,1,1,2,2*,-,0,0,0
PBH May (England),1951-1961,66,106,9,4537,285*,46.77,13,22,8
MP Maynard (England),1988-1994,4,8,0,87,35,10.87,0,0,2
CP Mead (England),1911-1928,17,26,2,1185,182*,49.37,4,3,3
W Mead (England),1899-1899,1,2,0,7,7,3.5,0,0,1
WE Midwinter (England),1881-1882,4,7,0,95,36,13.57,0,0,0
C Milburn (England),1966-1969,9,16,2,654,139,46.71,2,2,1
AM Miller (England),1896-1896,1,2,2,24,20*,-,0,0,0
G Miller (England),1976-1984,34,51,4,1213,98*,25.8,0,7,5
FW Milligan (England),1899-1899,2,4,0,58,38,14.5,0,0,0
G Millman (England),1961-1962,6,7,2,60,32*,12,0,0,2
CA Milton (England),1958-1959,6,9,1,204,104*,25.5,1,0,0
A Mitchell (England),1933-1936,6,10,0,298,72,29.8,0,2,1
F Mitchell (England),1899-1899,2,4,0,88,41,22,0,0,0
TB Mitchell (England),1933-1935,5,6,2,20,9,5,0,0,1
NS Mitchell-Innes (England),1935-1935,1,1,0,5,5,5,0,0,0
AW Mold (England),1893-1893,3,3,1,0,0*,0,0,0,2
LJ Moon (England),1906-1906,4,8,0,182,36,22.75,0,0,1
EJG Morgan (England),2010-2012,16,24,1,700,130,30.43,2,3,4
F Morley (England),1880-1883,4,6,2,6,2*,1.5,0,0,2
H Morris (England),1991-1991,3,6,0,115,44,19.16,0,0,0
JE Morris (England),1990-1990,3,5,2,71,32,23.66,0,0,0
JB Mortimore (England),1959-1964,9,12,2,243,73*,24.3,0,1,1
AE Moss (England),1954-1960,9,7,1,61,26,10.16,0,0,1
MD Moxon (England),1986-1989,10,17,1,455,99,28.43,0,3,2
AD Mullally (England),1996-2001,19,27,4,127,24,5.52,0,0,12
TA Munton (England),1992-1992,2,2,1,25,25*,25,0,0,1
WL Murdoch (England),1892-1892,1,1,0,12,12,12,0,0,0
JT Murray (England),1961-1967,21,28,5,506,112,22,1,2,3
W Newham (England),1888-1888,1,2,0,26,17,13,0,0,0
PJ Newport (England),1988-1991,3,5,1,110,40*,27.5,0,0,1
MS Nichols (England),1930-1939,14,19,7,355,78*,29.58,0,2,0
ASM Oakman (England),1956-1956,2,2,0,14,10,7,0,0,0
TC O'Brien (England),1884-1896,5,8,0,59,20,7.37,0,0,3
J O'Connor (England),1929-1930,4,7,0,153,51,21.85,0,1,1
CM Old (England),1972-1981,46,66,9,845,65,14.82,0,2,10
N Oldfield (England),1939-1939,1,2,0,99,80,49.5,0,1,0
G Onions (England),2009-2012,9,10,7,30,17*,10,0,0,3
J Ormond (England),2001-2001,2,4,1,38,18,12.66,0,0,1
C Overton (England),2017-2018,3,6,2,98,41*,24.5,0,0,0
DEV Padgett (England),1960-1960,2,4,0,51,31,12.75,0,0,0
GAE Paine (England),1935-1935,4,7,1,97,49,16.16,0,0,1
LCH Palairet (England),1902-1902,2,4,0,49,20,12.25,0,0,0
CH Palmer (England),1954-1954,1,2,0,22,22,11,0,0,1
KE Palmer (England),1965-1965,1,1,0,10,10,10,0,0,0
MS Panesar (England),2006-2013,50,68,23,220,26,4.88,0,0,20
PH Parfitt (England),1961-1972,37,52,6,1882,131*,40.91,7,6,5
CWL Parker (England),1921-1921,1,1,1,3,3*,-,0,0,0
PWG Parker (England),1981-1981,1,2,0,13,13,6.5,0,0,1
WGA Parkhouse (England),1950-1959,7,13,0,373,78,28.69,0,2,1
CH Parkin (England),1920-1924,10,16,3,160,36,12.3,0,0,1
JH Parks (England),1937-1937,1,2,0,29,22,14.5,0,0,0
JM Parks (England),1954-1968,46,68,7,1962,108*,32.16,2,9,3
Nawab of Pataudi (England),1932-1934,3,5,0,144,102,28.8,1,0,0
MM Patel (England),1996-1996,2,2,0,45,27,22.5,0,0,0
SR Patel (England),2012-2015,6,9,0,151,42,16.77,0,0,2
DJ Pattinson (England),2008-2008,1,2,0,21,13,10.5,0,0,0
E Paynter (England),1931-1939,20,31,5,1540,243,59.23,4,7,3
E Peate (England),1881-1886,9,14,8,70,13,11.66,0,0,1
IAR Peebles (England),1927-1931,13,17,8,98,26,10.88,0,0,3
R Peel (England),1884-1896,20,33,4,427,83,14.72,0,3,8
F Penn (England),1880-1880,1,2,1,50,27*,50,0,0,0
RTD Perks (England),1939-1939,2,2,2,3,2*,-,0,0,0
H Philipson (England),1892-1895,5,8,1,63,30,9,0,0,0
KP Pietersen (England),2005-2014,104,181,8,8181,227,47.28,23,35,10
ACS Pigott (England),1984-1984,1,2,1,12,8*,12,0,0,0
R Pilling (England),1881-1888,8,13,1,91,23,7.58,0,0,1
W Place (England),1948-1948,3,6,1,144,107,28.8,1,0,0
LE Plunkett (England),2005-2014,13,20,5,238,55*,15.86,0,1,7
PI Pocock (England),1968-1985,25,37,4,206,33,6.24,0,0,10
R Pollard (England),1946-1948,4,3,2,13,10*,13,0,0,0
CJ Poole (England),1951-1952,3,5,1,161,69*,40.25,0,2,0
GH Pope (England),1947-1947,1,1,1,8,8*,-,0,0,0
AD Pougher (England),1892-1892,1,1,0,17,17,17,0,0,0
JSE Price (England),1964-1972,15,15,6,66,32,7.33,0,0,5
WFF Price (England),1938-1938,1,2,0,6,6,3,0,0,1
RM Prideaux (England),1968-1969,3,6,1,102,64,20.4,0,1,0
DR Pringle (England),1982-1992,30,50,4,695,63,15.1,0,1,6
MJ Prior (England),2007-2014,79,123,21,4099,131*,40.18,7,28,13
G Pullar (England),1959-1963,28,49,4,1974,175,43.86,4,12,3
WG Quaife (England),1899-1902,7,13,1,228,68,19,0,1,1
NV Radford (England),1986-1988,3,4,1,21,12*,7,0,0,1
CT Radley (England),1978-1978,8,10,0,481,158,48.1,2,2,1
MR Ramprakash (England),1991-2002,52,92,6,2350,154,27.32,2,12,12
DW Randall (England),1977-1984,47,79,5,2470,174,33.37,7,12,14
KS Ranjitsinhji (England),1896-1902,15,26,4,989,175,44.95,2,6,2
WB Rankin (England),2014-2014,1,2,0,13,13,6.5,0,0,1
AU Rashid (England),2015-2016,10,18,2,295,61,18.43,0,2,3
CMW Read (England),1999-2007,15,23,4,360,55,18.94,0,1,5
HD Read (England),1935-1935,1,-,-,-,-,-,-,-,-
JM Read (England),1882-1893,17,29,2,461,57,17.07,0,2,3
WW Read (England),1882-1893,18,27,1,720,117,27.69,1,5,0
DA Reeve (England),1992-1992,3,5,0,124,59,24.8,0,1,1
AE Relf (England),1903-1914,13,21,3,416,63,23.11,0,1,1
HJ Rhodes (England),1959-1959,2,1,1,0,0*,-,0,0,0
SJ Rhodes (England),1994-1995,11,17,5,294,65*,24.5,0,1,1
W Rhodes (England),1899-1930,58,98,21,2325,179,30.19,2,11,6
CJ Richards (England),1986-1988,8,13,0,285,133,21.92,1,0,2
DW Richardson (England),1957-1957,1,1,0,33,33,33,0,0,0
PE Richardson (England),1956-1963,34,56,1,2061,126,37.47,5,9,1
T Richardson (England),1893-1898,14,24,8,177,25*,11.06,0,0,3
TL Richmond (England),1921-1921,1,2,0,6,4,3,0,0,0
F Ridgway (England),1951-1952,5,6,0,49,24,8.16,0,0,2
JDB Robertson (England),1947-1952,11,21,2,881,133,46.36,2,6,0
RWV Robins (England),1929-1937,19,27,4,612,108,26.6,1,4,4
RT Robinson (England),1984-1989,29,49,5,1601,175,36.38,4,6,5
SD Robson (England),2014-2014,7,11,0,336,127,30.54,1,1,0
TS Roland-Jones (England),2017-2017,4,6,2,82,25,20.5,0,0,0
GRJ Roope (England),1973-1978,21,32,4,860,77,30.71,0,7,3
CF Root (England),1926-1926,3,-,-,-,-,-,-,-,-
JE Root (England),2012-2018,69*,126,12,5960,254,52.28,13,40,4
BC Rose (England),1977-1981,9,16,2,358,70,25.57,0,2,0
VPFA Royle (England),1879-1879,1,2,0,21,18,10.5,0,0,0
FE Rumsey (England),1964-1965,5,5,3,30,21*,15,0,0,0
CAG Russell (England),1920-1923,10,18,2,910,140,56.87,5,2,2
RC Russell (England),1988-1998,54,86,16,1897,128*,27.1,2,6,8
WE Russell (England),1961-1967,10,18,1,362,70,21.29,0,2,2
MJ Saggers (England),2003-2004,3,3,0,1,1,0.33,0,0,2
IDK Salisbury (England),1992-2000,15,25,3,368,50,16.72,0,1,4
A Sandham (England),1921-1930,14,23,0,879,325,38.21,2,3,3
CP Schofield (England),2000-2000,2,3,0,67,57,22.33,0,1,1
SS Schultz (England),1879-1879,1,2,1,20,20,20,0,0,0
WH Scotton (England),1881-1887,15,25,2,510,90,22.17,0,3,2
J Selby (England),1877-1882,6,12,1,256,70,23.27,0,2,0
MWW Selvey (England),1976-1977,3,5,3,15,5*,7.5,0,0,1
D Shackleton (England),1950-1963,7,13,7,113,42,18.83,0,0,0
OA Shah (England),2006-2009,6,10,0,269,88,26.9,0,2,0
A Shahzad (England),2010-2010,1,1,0,5,5,5,0,0,0
J Sharp (England),1909-1909,3,6,2,188,105,47,1,1,0
JW Sharpe (England),1890-1892,3,6,4,44,26,22,0,0,0
PJ Sharpe (England),1963-1969,12,21,4,786,111,46.23,1,4,1
A Shaw (England),1877-1882,7,12,1,111,40,10.09,0,0,1
Rev.DS Sheppard (England),1950-1963,22,33,2,1172,119,37.8,3,6,2
M Sherwin (England),1887-1888,3,6,4,30,21*,15,0,0,1
A Shrewsbury (England),1881-1893,23,40,4,1277,164,35.47,3,4,1
J Shuter (England),1888-1888,1,1,0,28,28,28,0,0,0
K Shuttleworth (England),1970-1971,5,6,0,46,21,7.66,0,0,1
A Sidebottom (England),1985-1985,1,1,0,2,2,2,0,0,0
RJ Sidebottom (England),2001-2010,22,31,11,313,31,15.65,0,0,3
CEW Silverwood (England),1996-2002,6,7,3,29,10,7.25,0,0,2
RT Simpson (England),1948-1955,27,45,3,1401,156*,33.35,4,6,6
GHT Simpson-Hayward (England),1910-1910,5,8,1,105,29*,15,0,0,1
JM Sims (England),1935-1937,4,4,0,16,12,4,0,0,1
RA Sinfield (England),1938-1938,1,1,0,6,6,6,0,0,0
WN Slack (England),1986-1986,3,6,0,81,52,13.5,0,1,2
TF Smailes (England),1946-1946,1,1,0,25,25,25,0,0,0
GC Small (England),1986-1991,17,24,7,263,59,15.47,0,1,4
AC Smith (England),1962-1963,6,7,3,118,69*,29.5,0,1,0
AM Smith (England),1997-1997,1,2,1,4,4*,4,0,0,1
CA Smith (England),1889-1889,1,1,0,3,3,3,0,0,0
CIJ Smith (England),1935-1937,5,10,0,102,27,10.2,0,0,2
CL Smith (England),1983-1986,8,14,1,392,91,30.15,0,2,1
D Smith (England),1935-1935,2,4,0,128,57,32,0,1,1
DM Smith (England),1986-1986,2,4,0,80,47,20,0,0,1
DR Smith (England),1961-1962,5,5,1,38,34,9.5,0,0,2
DV Smith (England),1957-1957,3,4,1,25,16*,8.33,0,0,1
EJ Smith (England),1911-1913,11,14,1,113,22,8.69,0,0,2
ET Smith (England),2003-2003,3,5,0,87,64,17.4,0,1,2
H Smith (England),1928-1928,1,1,0,7,7,7,0,0,0
MJK Smith (England),1958-1972,50,78,6,2278,121,31.63,3,11,11
RA Smith (England),1988-1996,62,112,15,4236,175,43.67,9,28,8
TPB Smith (England),1946-1947,4,5,0,33,24,6.6,0,0,0
GA Smithson (England),1948-1948,2,3,0,70,35,23.33,0,0,1
JA Snow (England),1965-1976,49,71,14,772,73,13.54,0,2,17
J Southerton (England),1877-1877,2,3,1,7,6,3.5,0,0,1
RH Spooner (England),1905-1912,10,15,0,481,119,32.06,1,4,2
RT Spooner (England),1951-1955,7,14,1,354,92,27.23,0,3,3
RT Stanyforth (England),1927-1928,4,6,1,13,6*,2.6,0,0,1
SJ Staples (England),1928-1928,3,5,0,65,39,13,0,0,0
JB Statham (England),1951-1965,70,87,28,675,38,11.44,0,0,13
AG Steel (England),1880-1888,13,20,3,600,148,35.29,2,0,1
DS Steele (England),1975-1976,8,16,0,673,106,42.06,1,5,1
JP Stephenson (England),1989-1989,1,2,0,36,25,18,0,0,0
GTS Stevens (England),1922-1930,10,17,0,263,69,15.47,0,1,2
GB Stevenson (England),1980-1981,2,2,1,28,27*,28,0,0,0
AJ Stewart (England),1990-2003,133,235,21,8463,190,39.54,15,45,14
MJ Stewart (England),1962-1964,8,12,1,385,87,35,0,2,1
AE Stoddart (England),1888-1898,16,30,2,996,173,35.57,2,3,3
BA Stokes (England),2013-2018,42,75,1,2579,258,34.85,6,13,10
MD Stoneman (England),2017-2018,11,20,1,526,60,27.68,0,5,1
W Storer (England),1897-1899,6,11,0,215,51,19.54,0,1,0
AJ Strauss (England),2004-2012,100,178,6,7037,177,40.91,21,27,15
GB Street (England),1923-1923,1,2,1,11,7*,11,0,0,0
H Strudwick (England),1910-1926,28,42,13,230,24,7.93,0,0,5
CT Studd (England),1882-1883,5,9,1,160,48,20,0,0,2
GB Studd (England),1882-1883,4,7,0,31,9,4.42,0,0,1
R Subba Row (England),1958-1961,13,22,1,984,137,46.85,3,4,0
PM Such (England),1993-1999,11,16,5,67,14*,6.09,0,0,3
FH Sugg (England),1888-1888,2,2,0,55,31,27.5,0,0,0
H Sutcliffe (England),1924-1935,54,84,9,4555,194,60.73,16,23,2
GP Swann (England),2008-2013,60,76,14,1370,85,22.09,0,5,5
R Swetman (England),1959-1960,11,17,2,254,65,16.93,0,1,2
FW Tate (England),1902-1902,1,2,1,9,5*,9,0,0,0
MW Tate (England),1924-1935,39,52,5,1198,100*,25.48,1,5,5
R Tattersall (England),1951-1954,16,17,7,50,10*,5,0,0,1
CJ Tavare (England),1980-1989,31,56,2,1755,149,32.5,2,12,5
JP Taylor (England),1993-1994,2,4,2,34,17*,17,0,0,1
K Taylor (England),1959-1964,3,5,0,57,24,11.4,0,0,0
LB Taylor (England),1985-1985,2,1,1,1,1*,-,0,0,0
RW Taylor (England),1971-1984,57,83,12,1156,97,16.28,0,3,10
JWA Taylor (England),2012-2016,7,13,1,312,76,26,0,2,1
Hon.LH Tennyson (England),1913-1921,9,12,1,345,74*,31.36,0,4,1
VP Terry (England),1984-1984,2,3,0,16,8,5.33,0,0,0
JG Thomas (England),1986-1986,5,10,4,83,31*,13.83,0,0,3
GJ Thompson (England),1909-1910,6,10,1,273,63,30.33,0,2,0
NI Thomson (England),1964-1965,5,4,1,69,39,23,0,0,1
GP Thorpe (England),1993-2005,100,179,28,6744,200*,44.66,16,39,12
