Mat,Inns,NO,Runs,HS,Ave,100,50,0
2,4,0,40,26,10,0,0,1
4,8,0,38,9,4.75,0,0,1
2,4,1,36,22,12,0,0,0
2,4,0,34,31,8.5,0,0,0
2,4,1,33,20,11,0,0,0
2,4,0,30,18,7.5,0,0,0
1,2,0,24,14,12,0,0,0
2,4,1,20,14,6.66,0,0,0
2,4,0,18,7,4.5,0,0,0
1,2,0,15,13,7.5,0,0,0
1,2,0,14,13,7,0,0,0
1,2,1,10,7,10,0,0,0
1,2,1,10,7*,10,0,0,0
1,2,0,6,6,3,0,0,0
1,2,0,5,3,2.5,0,0,0
1,2,0,4,4,2,0,0,1
4,8,1,147,50,21,0,1,0
4,7,0,142,62,20.28,0,1,0
4,8,1,137,47,19.57,0,0,1
4,8,2,136,52,22.66,0,1,1
4,8,0,120,24,15,0,0,0
4,8,1,108,33*,15.42,0,0,0
4,8,0,106,34,13.25,0,0,2
4,8,2,82,31,13.66,0,0,1
2,4,0,79,42,19.75,0,0,1
2,4,0,78,32,19.5,0,0,0
4,8,0,74,33,9.25,0,0,1
3,6,0,61,25,10.16,0,0,1
2,4,0,56,36,14,0,0,1
4,8,0,55,30,6.87,0,0,0
2,4,0,48,23,12,0,0,0
2,4,0,47,22,11.75,0,0,1
2,3,0,45,36,15,0,0,0
1,2,0,44,29,22,0,0,0
2,4,1,29,20*,9.66,0,0,0
2,4,0,29,13,7.25,0,0,0
2,4,1,28,13*,9.33,0,0,0
3,6,2,28,10,7,0,0,0
2,3,0,21,9,7,0,0,0
2,4,0,21,17,5.25,0,0,1
1,2,0,19,10,9.5,0,0,0
2,4,1,19,11,6.33,0,0,1
1,2,0,18,13,9,0,0,0
2,3,0,17,8,5.66,0,0,0
2,4,0,16,9,4,0,0,2
2,3,0,9,8,3,0,0,0
2,4,2,9,4,4.5,0,0,0
1,2,0,6,6,3,0,0,0
1,2,0,6,5,3,0,0,0
2,4,1,5,4,1.66,0,0,2
2,3,0,4,4,1.33,0,0,2
1,2,0,2,2,1,0,0,1
5,10,0,319,73,31.9,0,1,0
6,12,0,305,66,25.41,0,2,0
6,12,2,297,73,29.7,0,2,0
6,10,0,282,66,28.2,0,3,1
6,12,0,195,45,16.25,0,0,1
6,12,1,193,54,17.54,0,1,1
6,11,0,180,47,16.36,0,0,1
6,11,2,162,42*,18,0,0,0
5,9,0,136,44,15.11,0,0,0
6,12,0,136,31,11.33,0,0,1
5,9,2,127,50*,18.14,0,1,1
4,7,1,119,53,19.83,0,1,0
6,11,1,116,49,11.6,0,0,1
3,6,1,85,35,17,0,0,0
4,8,0,77,15,9.62,0,0,0
4,8,2,58,19*,9.66,0,0,0
4,7,1,55,13,9.16,0,0,1
4,7,1,51,22,8.5,0,0,0
3,6,1,47,18*,9.4,0,0,2
1,2,1,46,37*,46,0,0,0
4,8,2,43,17,7.16,0,0,2
4,7,0,41,11,5.85,0,0,0
2,4,1,38,16*,12.66,0,0,0
5,9,0,36,17,4,0,0,3
2,4,0,34,13,8.5,0,0,0
2,4,1,31,24,10.33,0,0,1
6,11,3,23,8,2.87,0,0,4
2,3,1,21,11*,10.5,0,0,0
1,2,0,20,11,10,0,0,0
1,2,0,9,9,4.5,0,0,1
